dataset,field,value,n_features
San Mateo vegetation,PAVED_RD_18,17,221
San Mateo vegetation,PAVED_RD_18,18,191
San Mateo vegetation,PAVED_RD_18,19,159
San Mateo vegetation,PAVED_RD_18,21,124
San Mateo vegetation,PAVED_RD_18,20,107
San Mateo vegetation,PAVED_RD_18,23,86
San Mateo vegetation,PAVED_RD_18,22,84
San Mateo vegetation,PAVED_RD_18,27,59
San Mateo vegetation,PAVED_RD_18,24,56
San Mateo vegetation,PAVED_RD_18,25,51
San Mateo vegetation,PAVED_RD_18,26,49
San Mateo vegetation,PAVED_RD_18,29,36
San Mateo vegetation,PAVED_RD_18,31,33
San Mateo vegetation,PAVED_RD_18,28,29
San Mateo vegetation,PAVED_RD_18,30,29
San Mateo vegetation,PAVED_RD_18,36,25
San Mateo vegetation,PAVED_RD_18,35,24
San Mateo vegetation,PAVED_RD_18,33,22
San Mateo vegetation,PAVED_RD_18,32,21
San Mateo vegetation,PAVED_RD_18,34,20
San Mateo vegetation,PAVED_RD_18,100,18
San Mateo vegetation,PAVED_RD_18,37,16
San Mateo vegetation,PAVED_RD_18,43,16
San Mateo vegetation,PAVED_RD_18,38,15
San Mateo vegetation,PAVED_RD_18,40,15
San Mateo vegetation,PAVED_RD_18,41,15
San Mateo vegetation,PAVED_RD_18,42,13
San Mateo vegetation,PAVED_RD_18,47,13
San Mateo vegetation,PAVED_RD_18,39,11
San Mateo vegetation,PAVED_RD_18,45,11
San Mateo vegetation,PAVED_RD_18,52,11
San Mateo vegetation,PAVED_RD_18,53,11
San Mateo vegetation,PAVED_RD_18,48,10
San Mateo vegetation,PAVED_RD_18,59,10
San Mateo vegetation,PAVED_RD_18,56,9
San Mateo vegetation,PAVED_RD_18,44,8
San Mateo vegetation,PAVED_RD_18,49,8
San Mateo vegetation,PAVED_RD_18,55,8
San Mateo vegetation,PAVED_RD_18,46,7
San Mateo vegetation,PAVED_RD_18,54,6
San Mateo vegetation,PAVED_RD_18,57,6
San Mateo vegetation,PAVED_RD_18,58,6
San Mateo vegetation,PAVED_RD_18,68,6
San Mateo vegetation,PAVED_RD_18,63,5
San Mateo vegetation,PAVED_RD_18,50,4
San Mateo vegetation,PAVED_RD_18,60,4
San Mateo vegetation,PAVED_RD_18,85,4
San Mateo vegetation,PAVED_RD_18,62,3
San Mateo vegetation,PAVED_RD_18,70,3
San Mateo vegetation,PAVED_RD_18,71,3
San Mateo vegetation,PAVED_RD_18,74,3
San Mateo vegetation,PAVED_RD_18,75,3
San Mateo vegetation,PAVED_RD_18,83,3
San Mateo vegetation,PAVED_RD_18,89,3
San Mateo vegetation,PAVED_RD_18,51,2
San Mateo vegetation,PAVED_RD_18,61,2
San Mateo vegetation,PAVED_RD_18,64,2
San Mateo vegetation,PAVED_RD_18,66,2
San Mateo vegetation,PAVED_RD_18,67,2
San Mateo vegetation,PAVED_RD_18,69,2
San Mateo vegetation,PAVED_RD_18,73,2
San Mateo vegetation,PAVED_RD_18,76,2
San Mateo vegetation,PAVED_RD_18,77,2
San Mateo vegetation,PAVED_RD_18,78,2
San Mateo vegetation,PAVED_RD_18,81,2
San Mateo vegetation,PAVED_RD_18,84,2
San Mateo vegetation,PAVED_RD_18,87,2
San Mateo vegetation,PAVED_RD_18,94,2
San Mateo vegetation,PAVED_RD_18,72,1
San Mateo vegetation,PAVED_RD_18,79,1
San Mateo vegetation,PAVED_RD_18,80,1
San Mateo vegetation,PAVED_RD_18,93,1
San Mateo vegetation,PAVED_RD_18,95,1
San Mateo vegetation,PAVED_RD_18,96,1
San Mateo vegetation,PAVED_RD_18,97,1
San Mateo vegetation,BUILDING_18,0,89281
San Mateo vegetation,BUILDING_18,1,1567
San Mateo vegetation,BUILDING_18,2,633
San Mateo vegetation,BUILDING_18,3,362
San Mateo vegetation,BUILDING_18,4,250
San Mateo vegetation,BUILDING_18,23,187
San Mateo vegetation,BUILDING_18,27,183
San Mateo vegetation,BUILDING_18,25,180
San Mateo vegetation,BUILDING_18,21,178
San Mateo vegetation,BUILDING_18,26,174
San Mateo vegetation,BUILDING_18,22,164
San Mateo vegetation,BUILDING_18,32,164
San Mateo vegetation,BUILDING_18,24,162
San Mateo vegetation,BUILDING_18,20,158
San Mateo vegetation,BUILDING_18,18,157
San Mateo vegetation,BUILDING_18,19,155
San Mateo vegetation,BUILDING_18,28,152
San Mateo vegetation,BUILDING_18,17,149
San Mateo vegetation,BUILDING_18,31,148
San Mateo vegetation,BUILDING_18,29,147
San Mateo vegetation,BUILDING_18,30,142
San Mateo vegetation,BUILDING_18,34,142
San Mateo vegetation,BUILDING_18,5,141
San Mateo vegetation,BUILDING_18,16,139
San Mateo vegetation,BUILDING_18,14,132
San Mateo vegetation,BUILDING_18,35,131
San Mateo vegetation,BUILDING_18,15,125
San Mateo vegetation,BUILDING_18,33,122
San Mateo vegetation,BUILDING_18,6,117
San Mateo vegetation,BUILDING_18,36,116
San Mateo vegetation,BUILDING_18,9,106
San Mateo vegetation,BUILDING_18,11,105
San Mateo vegetation,BUILDING_18,12,103
San Mateo vegetation,BUILDING_18,39,103
San Mateo vegetation,BUILDING_18,38,99
San Mateo vegetation,BUILDING_18,8,99
San Mateo vegetation,BUILDING_18,13,98
San Mateo vegetation,BUILDING_18,10,95
San Mateo vegetation,BUILDING_18,7,93
San Mateo vegetation,BUILDING_18,40,92
San Mateo vegetation,BUILDING_18,37,89
San Mateo vegetation,BUILDING_18,41,76
San Mateo vegetation,BUILDING_18,42,74
San Mateo vegetation,BUILDING_18,44,69
San Mateo vegetation,BUILDING_18,43,61
San Mateo vegetation,BUILDING_18,45,52
San Mateo vegetation,BUILDING_18,46,52
San Mateo vegetation,BUILDING_18,47,42
San Mateo vegetation,BUILDING_18,48,35
San Mateo vegetation,BUILDING_18,52,24
San Mateo vegetation,BUILDING_18,50,21
San Mateo vegetation,BUILDING_18,49,20
San Mateo vegetation,BUILDING_18,53,17
San Mateo vegetation,BUILDING_18,55,15
San Mateo vegetation,BUILDING_18,51,14
San Mateo vegetation,BUILDING_18,56,12
San Mateo vegetation,BUILDING_18,57,10
San Mateo vegetation,BUILDING_18,54,8
San Mateo vegetation,BUILDING_18,60,4
San Mateo vegetation,BUILDING_18,58,3
San Mateo vegetation,BUILDING_18,62,3
San Mateo vegetation,BUILDING_18,65,3
San Mateo vegetation,BUILDING_18,59,2
San Mateo vegetation,BUILDING_18,61,2
San Mateo vegetation,BUILDING_18,63,2
San Mateo vegetation,BUILDING_18,75,2
San Mateo vegetation,BUILDING_18,81,2
San Mateo vegetation,BUILDING_18,83,2
San Mateo vegetation,BUILDING_18,90,2
San Mateo vegetation,BUILDING_18,64,1
San Mateo vegetation,BUILDING_18,66,1
San Mateo vegetation,BUILDING_18,69,1
San Mateo vegetation,BUILDING_18,72,1
San Mateo vegetation,BUILDING_18,74,1
San Mateo vegetation,BUILDING_18,76,1
San Mateo vegetation,BUILDING_18,77,1
San Mateo vegetation,BUILDING_18,82,1
San Mateo vegetation,BUILDING_18,87,1
San Mateo vegetation,BUILDING_18,92,1
San Mateo vegetation,BUILDING_18,94,1
Marin impervious,Class,Other Paved Surface,109671
Marin impervious,Class,Building,106326
Marin impervious,Class,Other Dirt/Gravel Surface,8624
Marin impervious,Class,Paved Road,2968
Marin impervious,Class,Dirt/Gravel Road,1163
